Area,Number of sessions,Number of neurons
LS,3,390
root,38,7698
ACA,11,648
MOs,18,1534
CA3,10,454
DG,16,1298
SUB,9,622
VISp,12,1106
TH,8,862
LGd,10,660
CA1,21,1470
VISa,5,408
SPF,2,74
MG,2,148
LP,11,612
VAL,1,50
LD,6,308
MOp,3,654
SSp,5,574
ACB,3,284
TT,4,204
PL,10,924
MRN,11,1002
IC,1,100
SCsg,6,170
RSP,9,832
CA2,1,150
VISrl,2,190
SCig,4,494
VISpm,4,348
BLA,2,178
GPe,3,282
MB,6,844
ZI,4,210
VPM,4,204
COA,1,60
BMA,1,80
RT,2,130
PO,5,382
SCm,7,598
POST,4,254
POL,3,154
VISl,3,290
VISam,11,1052
RN,1,74
SCs,4,222
MS,1,40
PT,1,50
LSc,1,60
LSr,4,300
CP,5,1416
ORB,5,444
PAG,3,260
ORBm,1,106
VPL,4,204
SSs,1,84
APN,2,334
MD,3,210
CL,1,50
OLF,3,214
SNr,4,310
NB,1,56
EP,1,50
LH,2,134
DP,1,30
ILA,3,254
MEA,1,30
OT,1,44
SI,1,36
CA,1,114
PIR,1,66
EPd,1,60
AUD,1,170
